Tarih;toplam_kredi;tuketici_kredileri_tl_yp;konut;tasit;ihtiyac
20-03-2026;302.097,3;28.379,4;4,1;16.240,8;12.134,5
27-03-2026;302.811,9;28.239,7;4,0;15.962,2;12.273,4
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
